WBS,2020-10-22,Sep 2020,0.69,0.75,0.06,8.7
ABT,2020-10-21,Sep 2020,0.9,0.98,0.08,8.8
AMP,2020-10-28,Sep 2020,1.35,1.47,0.12,8.8
HPE,2020-12-01,Oct 2020,0.34,0.37,0.03,8.8
NEM,2020-10-29,Sep 2020,0.79,0.86,0.07,8.8
ADI,2020-11-24,Oct 2020,1.32,1.44,0.12,9
ARD,2020-10-22,Sep 2020,0.44,0.48,0.04,9
DNB,2020-11-05,Sep 2020,0.22,0.24,0.02,9
NLOK,2020-11-05,Sep 2020,0.33,0.36,0.03,9
NUS,2020-11-04,Sep 2020,0.99,1.08,0.09,9
VRSK,2020-11-04,Sep 2020,1.21,1.32,0.11,9
WSO,2020-10-22,Sep 2020,2.53,2.76,0.23,9
LIN,2020-11-05,Sep 2020,1.97,2.15,0.18,9.1
CMG,2020-10-21,Sep 2020,3.44,3.76,0.32,9.3
ADSK,2020-11-24,Oct 2020,0.95,1.04,0.09,9.4
BMY,2020-11-05,Sep 2020,1.49,1.63,0.14,9.4
GWW,2020-10-22,Sep 2020,4.13,4.52,0.39,9.4
SLGN,2020-10-21,Sep 2020,0.95,1.04,0.09,9.4
BIIB,2020-10-21,Sep 2020,8.06,8.84,0.78,9.6
LRCX,2020-10-21,Sep 2020,5.17,5.67,0.5,9.6
MKSI,2020-10-27,Sep 2020,1.76,1.93,0.17,9.6
VIAC,2020-11-06,Sep 2020,0.83,0.91,0.08,9.6
COST,2020-09-24,Aug 2020,2.85,3.13,0.28,9.8
MCHP,2020-11-05,Sep 2020,1.42,1.56,0.14,9.8
REYN,2020-11-11,Sep 2020,0.51,0.56,0.05,9.8
THG,2020-10-27,Sep 2020,2.24,2.46,0.22,9.8
FMC,2020-11-02,Sep 2020,1.11,1.22,0.11,9.9
STZ,2020-10-01,Aug 2020,2.51,2.76,0.25,9.9
ESI,2020-10-27,Sep 2020,0.2,0.22,0.02,10
PD,2020-12-03,Oct 2020,-0.1,-0.09,0.01,10
SSNC,2020-10-28,Sep 2020,1,1.1,0.1,10
WRI,2020-10-29,Sep 2020,0.4,0.44,0.04,10
GPC,2020-10-22,Sep 2020,1.48,1.63,0.15,10.1
KLAC,2020-10-28,Sep 2020,2.75,3.03,0.28,10.1
TFC,2020-10-15,Sep 2020,0.88,0.97,0.09,10.2
IVZ,2020-10-27,Sep 2020,0.48,0.53,0.05,10.4
VRTX,2020-10-29,Sep 2020,2.39,2.64,0.25,10.4
JNJ,2020-10-13,Sep 2020,1.99,2.2,0.21,10.5
WEC,2020-11-03,Sep 2020,0.76,0.84,0.08,10.5
PGR,2020-10-14,Sep 2020,1.69,1.87,0.18,10.6
PRGO,2020-11-04,Sep 2020,0.84,0.93,0.09,10.7
MMC,2020-10-29,Sep 2020,0.74,0.82,0.08,10.8
MSI,2020-10-29,Sep 2020,1.76,1.95,0.19,10.8
ATVI,2020-10-29,Sep 2020,0.64,0.71,0.07,10.9
IRM,2020-11-05,Sep 2020,0.55,0.61,0.06,10.9
KEYS,2020-11-18,Oct 2020,1.46,1.62,0.16,10.9
CG,2020-10-29,Sep 2020,0.36,0.4,0.04,11.1
KHC,2020-10-29,Sep 2020,0.63,0.7,0.07,11.1
TEAM,2020-10-29,Sep 2020,0.27,0.3,0.03,11.1
TWOU,2020-10-27,Sep 2020,-0.27,-0.24,0.03,11.1
JKHY,2020-11-04,Sep 2020,1.07,1.19,0.12,11.2
AXS,2020-10-28,Sep 2020,-0.87,-0.77,0.1,11.4
CSL,2020-10-20,Sep 2020,1.74,1.94,0.2,11.4
INFO,2020-09-29,Aug 2020,0.69,0.77,0.08,11.5
ORLY,2020-10-28,Sep 2020,6.34,7.07,0.73,11.5
BDX,2020-11-05,Sep 2020,2.5,2.79,0.29,11.6
RHI,2020-10-22,Sep 2020,0.6,0.67,0.07,11.6
SAGE,2020-11-05,Sep 2020,-2.3,-2.03,0.27,11.7
WEN,2020-11-04,Sep 2020,0.17,0.19,0.02,11.7
EBAY,2020-10-28,Sep 2020,0.76,0.85,0.09,11.8
LAMR,2020-11-05,Sep 2020,1.18,1.32,0.14,11.8
SUI,2020-10-21,Sep 2020,1.43,1.6,0.17,11.8
BAH,2020-10-30,Sep 2020,0.92,1.03,0.11,11.9
TYL,2020-11-04,Sep 2020,1.34,1.5,0.16,11.9
CPB,2020-12-09,Oct 2020,0.91,1.02,0.11,12
G,2020-11-02,Sep 2020,0.5,0.56,0.06,12
GRA,2020-10-28,Sep 2020,0.5,0.56,0.06,12
