TER,20-OCT-2020,Sep 2020,1.11,1.18,0.07,6.3
USB,14-OCT-2020,Sep 2020,0.93,0.99,0.06,6.4
AKAM,27-OCT-2020,Sep 2020,1.23,1.31,0.08,6.5
FR,21-OCT-2020,Sep 2020,0.46,0.49,0.03,6.5
TRU,27-OCT-2020,Sep 2020,0.76,0.81,0.05,6.5
ACC,26-OCT-2020,Sep 2020,0.3,0.32,0.02,6.6
AMCR,05-NOV-2020,Sep 2020,0.15,0.16,0.01,6.6
DCI,03-DEC-2020,Oct 2020,0.45,0.48,0.03,6.6
SJM,24-NOV-2020,Oct 2020,2.24,2.39,0.15,6.7
AAP,10-NOV-2020,Sep 2020,2.63,2.81,0.18,6.8
AMAT,12-NOV-2020,Oct 2020,1.17,1.25,0.08,6.8
FTV,27-OCT-2020,Sep 2020,0.88,0.94,0.06,6.8
PB,28-OCT-2020,Sep 2020,1.31,1.4,0.09,6.8
EQH,04-NOV-2020,Sep 2020,1.16,1.24,0.08,6.9
ETRN,03-NOV-2020,Sep 2020,0.29,0.31,0.02,6.9
JAZZ,02-NOV-2020,Sep 2020,4.03,4.31,0.28,6.9
ADBE,15-SEP-2020,Aug 2020,2.4,2.57,0.17,7
CSCO,12-NOV-2020,Oct 2020,0.71,0.76,0.05,7
MMM,27-OCT-2020,Sep 2020,2.27,2.43,0.16,7
CTVA,04-NOV-2020,Sep 2020,-0.42,-0.39,0.03,7.1
AMT,29-OCT-2020,Sep 2020,2.08,2.23,0.15,7.2
TRV,20-OCT-2020,Sep 2020,2.91,3.12,0.21,7.2
CUBE,05-NOV-2020,Sep 2020,0.41,0.44,0.03,7.3
WRK,05-NOV-2020,Sep 2020,0.68,0.73,0.05,7.3
EQIX,28-OCT-2020,Sep 2020,6.03,6.48,0.45,7.4
HP,19-NOV-2020,Sep 2020,-0.8,-0.74,0.06,7.5
KR,03-DEC-2020,Oct 2020,0.66,0.71,0.05,7.5
A,23-NOV-2020,Oct 2020,0.91,0.98,0.07,7.6
HUM,03-NOV-2020,Sep 2020,2.86,3.08,0.22,7.6
RETA,09-NOV-2020,Sep 2020,-2.1,-1.94,0.16,7.6
CTSH,28-OCT-2020,Sep 2020,0.9,0.97,0.07,7.7
TREX,02-NOV-2020,Sep 2020,0.38,0.41,0.03,7.8
XLNX,21-OCT-2020,Sep 2020,0.76,0.82,0.06,7.8
ANSS,04-NOV-2020,Sep 2020,1.26,1.36,0.1,7.9
BOH,26-OCT-2020,Sep 2020,0.88,0.95,0.07,7.9
IQV,20-OCT-2020,Sep 2020,1.51,1.63,0.12,7.9
SPGI,27-OCT-2020,Sep 2020,2.64,2.85,0.21,7.9
D,05-NOV-2020,Sep 2020,1,1.08,0.08,8
HBAN,22-OCT-2020,Sep 2020,0.25,0.27,0.02,8
MU,29-SEP-2020,Aug 2020,1,1.08,0.08,8
OMC,27-OCT-2020,Sep 2020,1.12,1.21,0.09,8
VIRT,06-NOV-2020,Sep 2020,0.75,0.81,0.06,8
ORCL,10-SEP-2020,Aug 2020,0.86,0.93,0.07,8.1
SWK,27-OCT-2020,Sep 2020,2.67,2.89,0.22,8.2
ELAN,06-NOV-2020,Sep 2020,0.12,0.13,0.01,8.3
HRC,06-NOV-2020,Sep 2020,1.08,1.17,0.09,8.3
JBLU,27-OCT-2020,Sep 2020,-1.91,-1.75,0.16,8.3
RNG,09-NOV-2020,Sep 2020,0.24,0.26,0.02,8.3
ANET,02-NOV-2020,Sep 2020,2.23,2.42,0.19,8.5
MRCY,03-NOV-2020,Sep 2020,0.47,0.51,0.04,8.5
SCHW,15-OCT-2020,Sep 2020,0.47,0.51,0.04,8.5
STLD,19-OCT-2020,Sep 2020,0.47,0.51,0.04,8.5
CSGP,27-OCT-2020,Sep 2020,2.08,2.26,0.18,8.6
EXP,29-OCT-2020,Sep 2020,1.86,2.02,0.16,8.6
ULTA,03-DEC-2020,Oct 2020,1.51,1.64,0.13,8.6
AM,28-OCT-2020,Sep 2020,0.23,0.25,0.02,8.7
HSY,06-NOV-2020,Sep 2020,1.71,1.86,0.15,8.7
WBS,22-OCT-2020,Sep 2020,0.69,0.75,0.06,8.7
ABT,21-OCT-2020,Sep 2020,0.9,0.98,0.08,8.8
AMP,28-OCT-2020,Sep 2020,1.35,1.47,0.12,8.8
HPE,01-DEC-2020,Oct 2020,0.34,0.37,0.03,8.8
NEM,29-OCT-2020,Sep 2020,0.79,0.86,0.07,8.8
ADI,24-NOV-2020,Oct 2020,1.32,1.44,0.12,9
ARD,22-OCT-2020,Sep 2020,0.44,0.48,0.04,9
DNB,05-NOV-2020,Sep 2020,0.22,0.24,0.02,9
NLOK,05-NOV-2020,Sep 2020,0.33,0.36,0.03,9
NUS,04-NOV-2020,Sep 2020,0.99,1.08,0.09,9
VRSK,04-NOV-2020,Sep 2020,1.21,1.32,0.11,9
WSO,22-OCT-2020,Sep 2020,2.53,2.76,0.23,9
LIN,05-NOV-2020,Sep 2020,1.97,2.15,0.18,9.1
CMG,21-OCT-2020,Sep 2020,3.44,3.76,0.32,9.3
ADSK,24-NOV-2020,Oct 2020,0.95,1.04,0.09,9.4
BMY,05-NOV-2020,Sep 2020,1.49,1.63,0.14,9.4
GWW,22-OCT-2020,Sep 2020,4.13,4.52,0.39,9.4
SLGN,21-OCT-2020,Sep 2020,0.95,1.04,0.09,9.4
BIIB,21-OCT-2020,Sep 2020,8.06,8.84,0.78,9.6
LRCX,21-OCT-2020,Sep 2020,5.17,5.67,0.5,9.6
MKSI,27-OCT-2020,Sep 2020,1.76,1.93,0.17,9.6
VIAC,06-NOV-2020,Sep 2020,0.83,0.91,0.08,9.6
COST,24-SEP-2020,Aug 2020,2.85,3.13,0.28,9.8
