LVS,2020-10-21,Sep 2020,-0.58,-0.67,-0.09,-15.5
LYV,2020-11-05,Sep 2020,-2.12,-2.45,-0.33,-15.5
MSA,2020-10-28,Sep 2020,1.1,0.94,-0.16,-14.5
RCL,2020-10-29,Sep 2020,-4.92,-5.62,-0.7,-14.2
SMG,2020-11-04,Sep 2020,0.07,0.06,-0.01,-14.2
RE,2020-10-29,Sep 2020,2.81,2.42,-0.39,-13.8
GPS,2020-11-24,Oct 2020,0.29,0.25,-0.04,-13.7
MCY,2020-11-03,Sep 2020,1.42,1.23,-0.19,-13.3
SYF,2020-10-20,Sep 2020,0.83,0.72,-0.11,-13.2
ALK,2020-10-22,Sep 2020,-2.86,-3.23,-0.37,-12.9
ARMK,2020-11-17,Sep 2020,-0.31,-0.35,-0.04,-12.9
LLY,2020-10-27,Sep 2020,1.76,1.54,-0.22,-12.5
TNDM,2020-11-05,Sep 2020,-0.08,-0.09,-0.01,-12.5
PCG,2020-10-29,Sep 2020,0.25,0.22,-0.03,-12
WTRG,2020-11-03,Sep 2020,0.26,0.23,-0.03,-11.5
SRE,2020-11-05,Sep 2020,1.47,1.31,-0.16,-10.8
DPZ,2020-10-08,Sep 2020,2.75,2.49,-0.26,-9.4
WEX,2020-10-29,Sep 2020,1.75,1.59,-0.16,-9.1
NRZ,2020-10-26,Sep 2020,0.34,0.31,-0.03,-8.8
SPG,2020-11-09,Sep 2020,2.25,2.05,-0.2,-8.8
CHH,2020-11-05,Sep 2020,0.72,0.66,-0.06,-8.3
VNO,2020-11-02,Sep 2020,0.64,0.59,-0.05,-7.8
UNM,2020-10-27,Sep 2020,1.31,1.21,-0.1,-7.6
CB,2020-10-27,Sep 2020,2.16,2,-0.16,-7.4
SEIC,2020-10-21,Sep 2020,0.81,0.75,-0.06,-7.4
DEI,2020-11-02,Sep 2020,0.43,0.4,-0.03,-6.9
UAL,2020-10-14,Sep 2020,-7.63,-8.16,-0.53,-6.9
AXP,2020-10-23,Sep 2020,1.39,1.3,-0.09,-6.4
JBHT,2020-10-16,Sep 2020,1.26,1.18,-0.08,-6.3
CIEN,2020-12-10,Oct 2020,0.64,0.6,-0.04,-6.2
PPD,2020-10-27,Sep 2020,0.32,0.3,-0.02,-6.2
EQR,2020-10-27,Sep 2020,0.82,0.77,-0.05,-6.1
NNN,2020-11-02,Sep 2020,0.66,0.62,-0.04,-6
NTRS,2020-10-21,Sep 2020,1.4,1.32,-0.08,-5.7
SBNY,2020-10-20,Sep 2020,2.78,2.62,-0.16,-5.7
PXD,2020-11-04,Sep 2020,0.18,0.17,-0.01,-5.5
MSP,2020-11-23,Sep 2020,0.19,0.18,-0.01,-5.2
DAL,2020-10-13,Sep 2020,-3.14,-3.3,-0.16,-5.1
NCLH,2020-11-09,Sep 2020,-2.24,-2.35,-0.11,-4.9
PPL,2020-11-05,Sep 2020,0.61,0.58,-0.03,-4.9
CINF,2020-10-26,Sep 2020,0.41,0.39,-0.02,-4.8
AVB,2020-10-28,Sep 2020,2.16,2.06,-0.1,-4.6
OGE,2020-11-05,Sep 2020,1.09,1.04,-0.05,-4.5
BXP,2020-10-27,Sep 2020,1.64,1.57,-0.07,-4.2
VMC,2020-11-05,Sep 2020,1.63,1.56,-0.07,-4.2
APO,2020-10-29,Sep 2020,0.49,0.47,-0.02,-4
KIM,2020-11-05,Sep 2020,0.26,0.25,-0.01,-3.8
BAC,2020-10-14,Sep 2020,0.53,0.51,-0.02,-3.7
MTCH,2020-11-04,Sep 2020,0.57,0.55,-0.02,-3.5
O,2020-11-02,Sep 2020,0.84,0.81,-0.03,-3.5
IFF,2020-11-09,Sep 2020,1.45,1.4,-0.05,-3.4
COP,2020-10-29,Sep 2020,-0.3,-0.31,-0.01,-3.3
UBER,2020-11-05,Sep 2020,-0.6,-0.62,-0.02,-3.3
IAC,2020-11-05,Sep 2020,-0.61,-0.63,-0.02,-3.2
MA,2020-10-28,Sep 2020,1.65,1.6,-0.05,-3
FAF,2020-10-22,Sep 2020,1.35,1.31,-0.04,-2.9
CFG,2020-10-16,Sep 2020,0.7,0.68,-0.02,-2.8
MCFE,2020-11-19,Sep 2020,0.35,0.34,-0.01,-2.8
CPA,2020-11-18,Sep 2020,-2.79,-2.86,-0.07,-2.5
ACN,2020-09-24,Aug 2020,1.74,1.7,-0.04,-2.3
AES,2020-11-06,Sep 2020,0.43,0.42,-0.01,-2.3
HIW,2020-10-27,Sep 2020,0.88,0.86,-0.02,-2.2
HPP,2020-10-29,Sep 2020,0.44,0.43,-0.01,-2.2
HRL,2020-11-24,Oct 2020,0.44,0.43,-0.01,-2.2
JNPR,2020-10-27,Sep 2020,0.44,0.43,-0.01,-2.2
KMB,2020-10-22,Sep 2020,1.76,1.72,-0.04,-2.2
AGIO,2020-11-05,Sep 2020,-1.4,-1.43,-0.03,-2.1
CME,2020-10-28,Sep 2020,1.41,1.38,-0.03,-2.1
ED,2020-11-05,Sep 2020,1.51,1.48,-0.03,-1.9
APD,2020-11-11,Sep 2020,2.23,2.19,-0.04,-1.7
SO,2020-10-29,Sep 2020,1.24,1.22,-0.02,-1.6
T,2020-10-22,Sep 2020,0.77,0.76,-0.01,-1.3
LYFT,2020-11-10,Sep 2020,-0.89,-0.9,-0.01,-1.1
MTN,2020-12-10,Oct 2020,-3.59,-3.63,-0.04,-1.1
AL,2020-11-09,Sep 2020,1.03,1.02,-0.01,-0.9
ES,2020-11-03,Sep 2020,1.02,1.01,-0.01,-0.9
UNP,2020-10-22,Sep 2020,2.03,2.01,-0.02,-0.9
GL,2020-10-21,Sep 2020,1.76,1.75,-0.01,-0.5
ESS,2020-10-28,Sep 2020,3.16,3.15,-0.01,-0.3
ARE,2020-10-26,Sep 2020,1.83,1.83,0,0
BKR,2020-10-21,Sep 2020,0.04,0.04,0,0
FIS,2020-10-29,Sep 2020,1.42,1.42,0,0
FTDR,2020-11-04,Sep 2020,0.59,0.59,0,0
