PH,2020-11-05,Sep 2020,2.29,3.07,0.78,34
ATH,2020-11-03,Sep 2020,1.14,1.53,0.39,34.2
TPX,2020-10-29,Sep 2020,0.55,0.74,0.19,34.5
PNR,2020-10-20,Sep 2020,0.52,0.7,0.18,34.6
MSGE,2020-11-16,Sep 2020,-4.72,-3.04,1.68,35.5
XOM,2020-10-30,Sep 2020,-0.28,-0.18,0.1,35.7
PFPT,2020-10-29,Sep 2020,0.39,0.53,0.14,35.9
LAZ,2020-10-29,Sep 2020,0.49,0.67,0.18,36.7
DBX,2020-11-05,Sep 2020,0.19,0.26,0.07,36.8
HAL,2020-10-19,Sep 2020,0.08,0.11,0.03,37.5
CLX,2020-11-02,Sep 2020,2.34,3.22,0.88,37.6
TSLA,2020-10-21,Sep 2020,0.55,0.76,0.21,38.1
ISRG,2020-10-15,Sep 2020,2,2.77,0.77,38.5
C,2020-10-13,Sep 2020,1.01,1.4,0.39,38.6
TDC,2020-11-05,Sep 2020,0.31,0.43,0.12,38.7
WWD,2020-11-19,Sep 2020,0.54,0.75,0.21,38.8
ALLE,2020-10-22,Sep 2020,1.2,1.67,0.47,39.1
LECO,2020-10-27,Sep 2020,0.79,1.1,0.31,39.2
PTC,2020-10-28,Sep 2020,0.56,0.78,0.22,39.2
CARR,2020-10-29,Sep 2020,0.48,0.67,0.19,39.5
RBC,2020-10-28,Sep 2020,1.24,1.73,0.49,39.5
TRMB,2020-11-04,Sep 2020,0.43,0.6,0.17,39.5
FB,2020-10-29,Sep 2020,1.94,2.71,0.77,39.6
ALB,2020-11-04,Sep 2020,0.78,1.09,0.31,39.7
FND,2020-10-29,Sep 2020,0.4,0.56,0.16,40
U,2020-11-12,Sep 2020,-0.15,-0.09,0.06,40
BA,2020-10-28,Sep 2020,-2.33,-1.39,0.94,40.3
IART,2020-10-28,Sep 2020,0.57,0.8,0.23,40.3
GGG,2020-10-21,Sep 2020,0.42,0.59,0.17,40.4
LEN,2020-09-14,Aug 2020,1.51,2.12,0.61,40.4
THO,2020-12-08,Oct 2020,1.46,2.05,0.59,40.4
TTWO,2020-11-05,Sep 2020,1.45,2.04,0.59,40.6
MHK,2020-10-29,Sep 2020,2.31,3.26,0.95,41.1
UHS,2020-10-29,Sep 2020,2.04,2.88,0.84,41.1
TRIP,2020-11-05,Sep 2020,-0.29,-0.17,0.12,41.3
CRUS,2020-11-02,Sep 2020,0.89,1.26,0.37,41.5
CHGG,2020-10-26,Sep 2020,0.12,0.17,0.05,41.6
AGNC,2020-10-26,Sep 2020,0.57,0.81,0.24,42.1
ON,2020-10-31,Sep 2020,0.19,0.27,0.08,42.1
MASI,2020-10-27,Sep 2020,0.56,0.8,0.24,42.8
MPC,2020-11-02,Sep 2020,-1.75,-1,0.75,42.8
RGEN,2020-11-05,Sep 2020,0.28,0.4,0.12,42.8
APTV,2020-10-29,Sep 2020,0.79,1.13,0.34,43
HSIC,2020-11-02,Sep 2020,0.72,1.03,0.31,43
IPG,2020-10-21,Sep 2020,0.37,0.53,0.16,43.2
YUMC,2020-10-28,Sep 2020,0.46,0.66,0.2,43.4
FICO,2020-11-10,Sep 2020,2.26,3.25,0.99,43.8
GOOG,2020-10-29,Sep 2020,11.4,16.4,5,43.8
GOOGL,2020-10-29,Sep 2020,11.4,16.4,5,43.8
FITB,2020-10-22,Sep 2020,0.59,0.85,0.26,44
RF,2020-10-20,Sep 2020,0.34,0.49,0.15,44.1
SNX,2020-09-29,Aug 2020,2.31,3.33,1.02,44.1
LKQ,2020-10-29,Sep 2020,0.52,0.75,0.23,44.2
SPB,2020-11-13,Sep 2020,1.19,1.72,0.53,44.5
BIGC,2020-11-05,Sep 2020,-0.29,-0.16,0.13,44.8
IPGP,2020-10-30,Sep 2020,0.89,1.29,0.4,44.9
BOKF,2020-10-21,Sep 2020,1.51,2.19,0.68,45
ADP,2020-10-28,Sep 2020,0.97,1.41,0.44,45.3
SMAR,2020-12-07,Oct 2020,-0.22,-0.12,0.1,45.4
FOXA,2020-11-03,Sep 2020,0.81,1.18,0.37,45.6
NTAP,2020-12-01,Oct 2020,0.72,1.05,0.33,45.8
AN,2020-10-21,Sep 2020,1.63,2.38,0.75,46
DELL,2020-11-24,Oct 2020,1.39,2.03,0.64,46
NYT,2020-11-05,Sep 2020,0.15,0.22,0.07,46.6
CC,2020-11-03,Sep 2020,0.32,0.47,0.15,46.8
DXCM,2020-10-27,Sep 2020,0.64,0.94,0.3,46.8
PKI,2020-10-28,Sep 2020,1.42,2.09,0.67,47.1
OZK,2020-10-22,Sep 2020,0.57,0.84,0.27,47.3
SEDG,2020-11-02,Sep 2020,0.82,1.21,0.39,47.5
HST,2020-11-04,Sep 2020,-0.21,-0.11,0.1,47.6
ALSN,2020-10-28,Sep 2020,0.46,0.68,0.22,47.8
ATUS,2020-10-29,Sep 2020,0.23,0.34,0.11,47.8
UNVR,2020-11-04,Sep 2020,0.23,0.34,0.11,47.8
